,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
155287,1,2.0,5,1,3.0,2.0,5
155288,2,2.0,4,2,1.0,1.0,5
155290,1,3.0,4,2,1.0,1.0,4
155291,2,1.0,3,1,3.0,1.0,5
155292,2,1.0,3,1,3.0,1.0,5
155293,1,1.0,2,2,1.0,3.0,4
155295,1,1.0,5,1,1.0,1.0,5
155296,1,2.0,3,1,1.0,1.0,5
155297,2,2.0,4,1,1.0,1.0,5
155298,1,1.0,5,1,,1.0,5
155300,1,4.0,5,1,1.0,1.0,4
155301,2,1.0,4,1,1.0,1.0,4
155302,2,1.0,4,1,1.0,1.0,4
155303,1,1.0,5,1,1.0,1.0,5
155304,1,2.0,3,1,3.0,1.0,4
155306,2,4.0,3,1,1.0,3.0,3
155307,2,2.0,5,1,,1.0,5
155308,1,1.0,3,1,3.0,1.0,5
155309,1,2.0,5,1,,2.0,5
155310,1,1.0,1,2,3.0,3.0,4
155312,1,3.0,7,1,1.0,2.0,3
155313,2,1.0,1,2,1.0,3.0,5
155314,2,1.0,4,2,1.0,1.0,5
155315,2,2.0,4,2,1.0,3.0,4
155316,1,2.0,7,2,1.0,2.0,3
155317,1,1.0,2,2,3.0,1.0,4
155318,2,1.0,4,1,1.0,1.0,5
155319,2,2.0,6,2,1.0,2.0,5
155320,2,2.0,2,2,3.0,1.0,4
155321,1,1.0,4,1,1.0,1.0,5
155322,1,1.0,5,1,1.0,1.0,4
155323,1,2.0,1,2,,3.0,3
155324,1,2.0,6,1,,2.0,5
155325,2,2.0,3,1,1.0,1.0,5
155326,2,2.0,6,1,2.0,2.0,4
155327,2,1.0,6,1,1.0,1.0,5
155328,2,1.0,3,2,1.0,1.0,5
155329,2,2.0,2,2,1.0,1.0,5
155330,1,3.0,5,2,1.0,1.0,4
155331,1,3.0,7,1,1.0,2.0,4
155332,1,1.0,3,1,1.0,1.0,5
155333,1,1.0,3,1,,1.0,4
155334,1,1.0,1,2,1.0,1.0,5
155335,1,5.0,4,1,1.0,2.0,4
155336,2,2.0,3,1,1.0,1.0,5
155337,1,1.0,4,1,1.0,1.0,4
155338,2,1.0,1,2,3.0,3.0,4
155339,2,3.0,6,1,1.0,2.0,3
155340,2,1.0,3,2,3.0,1.0,4
155341,2,2.0,4,2,1.0,1.0,5
155342,2,2.0,1,2,3.0,1.0,4
155343,2,2.0,5,1,1.0,2.0,4
155345,2,2.0,3,2,3.0,1.0,4
155346,2,2.0,7,2,3.0,2.0,5
155348,2,2.0,3,2,3.0,3.0,3
155350,2,2.0,4,1,1.0,1.0,5
155352,1,1.0,3,1,2.0,1.0,4
155353,2,4.0,4,1,3.0,3.0,3
155354,1,1.0,3,2,3.0,1.0,5
155355,1,1.0,3,1,1.0,1.0,5
155357,1,3.0,4,1,1.0,3.0,4
155358,1,1.0,3,1,3.0,1.0,3
155360,2,3.0,7,1,1.0,2.0,3
155361,2,1.0,1,2,1.0,3.0,5
155362,1,1.0,2,2,1.0,1.0,5
155363,2,1.0,1,2,,1.0,5
155364,2,1.0,5,1,1.0,1.0,5
155366,2,3.0,6,1,1.0,2.0,4
155367,1,2.0,7,2,1.0,2.0,5
155368,1,2.0,7,2,1.0,2.0,4
155369,2,2.0,6,1,1.0,3.0,5
155370,2,2.0,7,1,1.0,2.0,3
155371,2,1.0,4,2,1.0,1.0,4
155372,2,1.0,5,1,1.0,1.0,5
155373,1,1.0,1,2,1.0,1.0,3
155374,1,3.0,4,2,,3.0,4
155376,2,2.0,5,1,1.0,2.0,5
155377,2,1.0,3,1,1.0,1.0,5
155378,1,2.0,7,1,1.0,2.0,4
155379,2,2.0,6,1,1.0,2.0,5
155380,2,3.0,7,1,1.0,2.0,4
155381,2,1.0,2,2,1.0,1.0,4
155382,2,1.0,2,1,3.0,3.0,4
155383,2,2.0,1,2,3.0,3.0,4
155384,1,2.0,3,2,1.0,1.0,4
155385,2,2.0,7,2,1.0,2.0,4
155386,2,2.0,5,2,,2.0,4
155388,2,1.0,3,2,1.0,3.0,4
155390,1,1.0,5,1,3.0,1.0,5
155391,2,1.0,1,2,3.0,3.0,4
155392,2,1.0,3,2,1.0,1.0,5
155394,2,2.0,4,1,3.0,1.0,5
155396,1,2.0,3,2,3.0,3.0,3
155397,1,1.0,4,1,1.0,1.0,5
155398,2,2.0,6,1,1.0,2.0,4
155401,1,2.0,1,2,3.0,1.0,4
155402,2,5.0,7,2,2.0,2.0,4
155403,1,2.0,4,1,,1.0,5
155404,1,1.0,4,1,1.0,1.0,5
155405,2,1.0,4,1,1.0,1.0,5
155406,2,3.0,4,2,3.0,3.0,3
155407,2,2.0,7,1,1.0,2.0,4
155408,2,1.0,2,1,3.0,1.0,5
155409,2,2.0,1,2,,11.0,5
155411,1,4.0,3,2,3.0,1.0,3
155415,2,1.0,5,1,1.0,1.0,4
155416,2,1.0,2,2,3.0,1.0,4
155417,1,2.0,1,2,1.0,11.0,5
155418,2,2.0,4,1,1.0,1.0,4
155421,2,2.0,7,1,1.0,2.0,4
155422,2,2.0,7,2,,2.0,3
155423,2,1.0,7,1,1.0,2.0,5
155424,1,4.0,4,2,1.0,3.0,3
155426,2,2.0,5,1,,1.0,4
155427,2,3.0,6,2,1.0,2.0,3
155428,2,3.0,4,2,,1.0,5
155429,1,1.0,3,1,1.0,1.0,5
155430,2,2.0,7,2,1.0,3.0,3
155431,1,2.0,2,2,1.0,1.0,5
155432,1,1.0,2,2,3.0,1.0,3
155433,1,3.0,7,1,1.0,2.0,4
155434,1,1.0,2,2,,1.0,5
155436,2,2.0,5,1,1.0,1.0,4
155437,2,3.0,4,1,1.0,3.0,4
155438,2,4.0,4,2,1.0,3.0,4
155439,1,2.0,5,1,1.0,1.0,5
155440,1,2.0,7,2,1.0,2.0,5
155441,2,2.0,6,1,1.0,1.0,5
155442,2,2.0,6,1,1.0,2.0,5
155443,1,1.0,6,1,1.0,2.0,5
155444,1,2.0,4,1,1.0,1.0,3
155445,1,2.0,6,1,1.0,1.0,4
155446,2,1.0,6,1,1.0,2.0,4
155447,2,2.0,6,2,1.0,2.0,4
155448,2,2.0,7,2,3.0,2.0,4
155450,1,1.0,6,1,3.0,2.0,5
155451,2,3.0,6,1,1.0,2.0,5
155452,1,3.0,6,2,,2.0,3
155453,1,1.0,2,2,3.0,1.0,4
155454,2,1.0,4,1,,3.0,5
