,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
6324,,2,,2.0,1.0,survey,,
6330,,1,,1.0,3.0,survey,,
6338,,2,,2.0,1.0,survey,,
6339,,1,,2.0,3.0,survey,,
6340,,2,,2.0,1.0,survey,,
6362,,2,,2.0,3.0,survey,,
6363,,2,,2.0,3.0,survey,,
6365,,2,,2.0,3.0,survey,,
6367,,1,,1.0,1.0,survey,,
6375,,2,,2.0,3.0,survey,,
6376,,2,,1.0,3.0,survey,,
6377,,2,,1.0,3.0,survey,,
6384,,2,,2.0,1.0,survey,,
6402,,1,,2.0,1.0,survey,,
6414,,2,,1.0,1.0,survey,,
6421,,1,,2.0,1.0,survey,,
6423,,1,,1.0,1.0,survey,,
6434,,1,,1.0,3.0,survey,,
6435,,2,,2.0,3.0,survey,,
6446,,1,,2.0,3.0,survey,,
6448,,2,,1.0,3.0,survey,,
6451,,1,,2.0,1.0,survey,,
6472,,1,,1.0,1.0,survey,,
6474,,2,,2.0,1.0,survey,,
6507,,2,,1.0,3.0,survey,,
6514,,2,,1.0,1.0,survey,,
6517,,2,,1.0,1.0,survey,,
6536,,1,,2.0,3.0,survey,,
6541,,2,,1.0,1.0,survey,,
6542,,2,,1.0,1.0,survey,,
6543,,1,,1.0,1.0,survey,,
6545,,2,,2.0,1.0,survey,,
6552,,1,,2.0,3.0,survey,,
6553,,2,,2.0,1.0,survey,,
6556,,2,,2.0,3.0,survey,,
6563,,1,,1.0,1.0,survey,,
6566,,1,,1.0,1.0,survey,,
6567,,2,,1.0,3.0,survey,,
6582,,2,,1.0,1.0,survey,,
6585,,2,,1.0,3.0,survey,,
6597,,2,,1.0,1.0,survey,,
6598,,2,,2.0,1.0,survey,,
6603,,1,,1.0,1.0,survey,,
6604,,2,,2.0,1.0,survey,,
6608,,2,,1.0,1.0,survey,,
6610,,1,,2.0,3.0,survey,,
6613,,2,,1.0,1.0,survey,,
6615,,1,,2.0,1.0,survey,,
6617,,2,,2.0,3.0,survey,,
6618,,2,,1.0,2.0,survey,,
6619,,1,,1.0,1.0,survey,,
6624,,2,,1.0,1.0,survey,,
6631,,1,,2.0,3.0,survey,,
6635,,1,,2.0,3.0,survey,,
6638,,1,,1.0,3.0,survey,,
6642,,2,,1.0,1.0,survey,,
6645,,2,,2.0,1.0,survey,,
6649,,1,,2.0,3.0,survey,,
6656,,2,,2.0,3.0,survey,,
6660,,1,,2.0,3.0,survey,,
6663,,1,,1.0,3.0,survey,,
6694,,1,,1.0,3.0,survey,,
6704,,2,,1.0,3.0,survey,,
6705,,1,,2.0,3.0,survey,,
6707,,1,,1.0,2.0,survey,,
6708,,1,,2.0,1.0,survey,,
6712,,1,,1.0,3.0,survey,,
6726,,2,,2.0,1.0,survey,,
6729,,1,,1.0,1.0,survey,,
6733,,2,,2.0,3.0,survey,,
6736,,2,,2.0,1.0,survey,,
6740,,2,,1.0,1.0,survey,,
6757,,2,,1.0,1.0,survey,,
6760,,2,,1.0,1.0,survey,,
6765,,1,,1.0,2.0,survey,,
6767,,2,,1.0,1.0,survey,,
6768,,2,,1.0,1.0,survey,,
6770,,1,,1.0,1.0,survey,,
6772,,2,,2.0,1.0,survey,,
6773,,2,,2.0,1.0,survey,,
6777,,2,,2.0,3.0,survey,,
6784,,2,,1.0,3.0,survey,,
6787,,2,,2.0,1.0,survey,,
6788,,1,,1.0,1.0,survey,,
6802,,1,,2.0,2.0,survey,,
6815,,1,,1.0,1.0,survey,,
6816,,1,,1.0,1.0,survey,,
6822,,2,,2.0,1.0,survey,,
6824,,2,,1.0,1.0,survey,,
6826,,1,,2.0,2.0,survey,,
6830,,2,,2.0,3.0,survey,,
6842,,2,,1.0,1.0,survey,,
6847,,1,,2.0,3.0,survey,,
6853,,2,,1.0,1.0,survey,,
6855,,2,,,3.0,survey,,
6858,,1,,2.0,3.0,survey,,
6861,,2,,1.0,1.0,survey,,
6863,,2,,1.0,3.0,survey,,
6874,,2,,2.0,3.0,survey,,
6875,,1,,2.0,3.0,survey,,
6877,,2,,2.0,1.0,survey,,
6878,,2,,2.0,1.0,survey,,
6879,,2,,2.0,3.0,survey,,
6889,,2,,1.0,1.0,survey,,
6890,,1,,2.0,3.0,survey,,
6898,,1,,1.0,1.0,survey,,
6900,,1,,1.0,3.0,survey,,
6901,,2,,2.0,1.0,survey,,
6910,,2,,2.0,1.0,survey,,
